user_id,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,fans,funny,review_count,useful,yelping_since,now_date,acceptance,activation,frequency,subscribe,registeration,W1,W2,Wi,Wj
djxnI8Ux8ZYQJhiOQkrRhA,3714,259,3714,2606,103,230,2061,586,9149,215,938,21645,1745,14262,2455,27031,2008/5/9 13:48,2021/3/31 0:00,,,,,,,,,
LMPWMy_kvHjlUzVQ_9jz6A,517,45,517,352,1,50,234,381,226,22,175,10005,439,5504,2310,11916,2011/3/11 8:45,2021/3/31 0:00,,,,,,,,,
QnIrewrXxFnssw_gG1gF-Q,3121,164,3121,2575,95,237,1290,1981,3663,190,1074,36762,1299,22264,2845,43203,2010/7/10 18:54,2021/3/31 0:00,,,,,,,,,
hizGc5W1tBHPghM5YKCAtg,7769,373,7769,6560,252,424,3104,1620,17426,416,2524,37964,3511,31112,1754,46534,2009/5/22 20:19,2021/3/31 0:00,,,,,,,,,
#NAME?,2434,202,2434,2128,43,120,815,226,2282,174,847,7907,251,6144,1515,9179,2006/12/19 21:49,2021/3/31 0:00,,,,,,,,,
iT1AA74QFn_a0Xq9-ggSGA,1288,38,1288,617,43,93,1015,437,2065,45,526,6760,231,5625,1991,12275,2010/7/16 20:51,2021/3/31 0:00,,,,,,,,,
IBrL-6twlZmQBGLdV2DQiw,108,0,108,43,3,12,35,4,87,4,26,810,55,863,1266,1375,2006/1/3 21:31,2021/3/31 0:00,,,,,,,,,
EJPBXvEdaodsPQuYBT6low,181,6,181,71,22,22,129,13,308,13,57,1469,143,1490,1568,3158,2007/12/18 17:48,2021/3/31 0:00,,,,,,,,,
GON8Ynfiro1jxnFoWD5jwQ,665,5,665,356,10,48,162,261,847,22,229,12317,231,8990,1546,14040,2007/8/17 20:21,2021/3/31 0:00,,,,,,,,,
4ZfcCa4m5RWvO4EFzfYm1A,1559,101,1559,942,113,105,829,1123,783,106,634,9878,667,9665,1290,12507,2007/11/5 6:02,2021/3/31 0:00,,,,,,,,,
wzyGNvArcpUjZauRWFrKHA,694,1,694,349,6,38,286,700,812,21,224,8390,356,6827,2438,11807,2011/5/15 22:26,2021/3/31 0:00,,,,,,,,,
ci7Q6NvXQ8UZrBHusVX18g,636,31,636,342,12,45,276,275,603,34,269,5584,224,4869,1261,8455,2009/11/18 0:02,2021/3/31 0:00,,,,,,,,,
M1cMsRL4L7IUr9RILDywEQ,150,13,150,59,36,30,78,41,116,10,128,2403,276,1325,2220,5606,2006/10/24 22:40,2021/3/31 0:00,,,,,,,,,
5kMii2JySygayQpyPBjqCA,124,2,124,50,11,8,100,13,75,2,49,1790,87,926,1705,2847,2010/6/19 23:11,2021/3/31 0:00,,,,,,,,,
B7ecAeAIrXg7sgmabS38pg,3233,600,3233,3480,142,292,1697,348,2360,223,973,23273,1371,25943,2602,24986,2006/5/12 6:07,2021/3/31 0:00,,,,,,,,,
Dw5k44c-nkOexdaqUtcWCA,65,2,65,55,6,6,47,11,74,2,23,861,47,883,1182,1470,2007/4/26 20:20,2021/3/31 0:00,,,,,,,,,
om5ZiponkpRqUNa3pVPiRg,1620,214,1620,1304,101,136,1353,181,2160,85,427,13333,962,9137,2751,17995,2006/1/18 2:35,2021/3/31 0:00,,,,,,,,,
K7thO1n-vZ9PFYiC7nTR2w,1900,69,1900,1177,58,182,1256,102,2765,108,843,8846,324,6557,1532,11189,2007/12/26 23:05,2021/3/31 0:00,,,,,,,,,
PnBwDitaPUodtlSpN3ELJw,105,1,105,43,1,9,48,25,76,4,49,1368,60,996,1003,2402,2008/3/18 3:12,2021/3/31 0:00,,,,,,,,,
fHS0bQ-l5rHME_xXKQSYXQ,947,46,947,384,75,49,515,60,1587,31,264,6641,382,3963,1401,7901,2007/3/19 18:19,2021/3/31 0:00,,,,,,,,,
VFXKRVzEMbnsDcYFdwiiuA,24,0,24,17,0,3,13,2,17,4,15,288,22,206,1072,694,2008/4/19 7:27,2021/3/31 0:00,,,,,,,,,
Vf3DJncooLUHWYele0Cxrw,43,0,43,9,0,1,11,6,30,3,18,445,61,435,1053,957,2007/1/20 20:23,2021/3/31 0:00,,,,,,,,,
C6LV0p8L6IfBfh1YFRkWzQ,762,12,762,486,12,44,207,338,618,45,281,9415,247,5737,1476,12070,2008/7/16 7:22,2021/3/31 0:00,,,,,,,,,
Ve0LUwcrzxL7w0RYgY4Aaw,2979,288,2979,1587,87,180,2052,499,5859,177,1002,22450,1116,13044,1987,26601,2008/8/22 16:38,2021/3/31 0:00,,,,,,,,,
yOixBUTirIrxyup-8jb_Ww,423,50,423,284,31,44,189,55,336,50,116,2919,113,2786,1077,4117,2010/6/19 22:12,2021/3/31 0:00,,,,,,,,,
aqWXHhcR_CdmKmxggFOlEA,102,5,102,66,9,13,44,7,57,6,22,1029,95,391,1259,2452,2005/9/25 3:36,2021/3/31 0:00,,,,,,,,,
EVaW-GGDEbYrYhgGUmO0DQ,65,7,65,122,0,9,37,3,30,16,128,805,29,713,1198,1362,2008/7/17 16:10,2021/3/31 0:00,,,,,,,,,
8rzqG5NLuDlnqE49USzvTw,76,1,76,34,2,6,38,4,96,1,20,1269,36,858,1738,2163,2008/10/28 1:39,2021/3/31 0:00,,,,,,,,,
UVUIi0q38pAvsfuEEppe0Q,162,1,162,67,17,20,121,5,272,4,94,2906,135,1193,3168,4681,2011/4/8 22:19,2021/3/31 0:00,,,,,,,,,
QhpD_YU3_RDMKjkH5DXMYg,200,4,200,69,3,20,113,67,271,8,111,2161,81,1540,1538,4766,2009/3/26 17:53,2021/3/31 0:00,,,,,,,,,
eSlOI3GhroEtcbaD_nFXJQ,2483,20,2483,769,16,86,405,267,3075,63,283,17152,306,10076,3175,19853,2011/5/28 21:42,2021/3/31 0:00,,,,,,,,,
o2Or6xqxeWaE46tdzK0UGg,931,65,931,664,18,84,353,756,516,57,446,21804,759,14943,2476,26872,2010/3/13 18:28,2021/3/31 0:00,,,,,,,,,
cYjzLu3fm-VbtjRMCuhK6Q,95,2,95,66,5,9,53,7,140,9,67,1151,77,931,1209,2616,2009/3/13 18:55,2021/3/31 0:00,,,,,,,,,
opPpHVIp8SKHMJg3_y5Lew,1155,43,1155,779,55,83,202,303,1035,118,392,5012,143,4532,1509,6773,2010/6/25 1:11,2021/3/31 0:00,,,,,,,,,
sDGwhNAQIubV36t_fex6VA,1165,51,1165,724,54,146,564,161,1185,87,293,6132,275,4758,1441,8293,2008/2/19 18:13,2021/3/31 0:00,,,,,,,,,
Hnu5s_myOZZIS2eny7liVA,489,27,489,400,19,41,118,29,474,27,185,5484,114,4080,1413,6684,2008/12/11 22:31,2021/3/31 0:00,,,,,,,,,
4MJ7go3WJwIcak_17vWw9w,130,9,130,97,1,11,63,39,142,14,115,2064,98,1684,1872,3377,2009/3/21 2:23,2021/3/31 0:00,,,,,,,,,
NP-675YVy9URhNmdQdnWsQ,32,0,32,9,2,3,12,1,28,2,6,324,24,220,1065,739,2005/7/28 2:13,2021/3/31 0:00,,,,,,,,,
vgwdQ0fpDZdoTidJuwYq7w,103,13,103,98,2,16,36,10,88,1,20,1108,57,803,1314,1201,2005/9/19 22:42,2021/3/31 0:00,,,,,,,,,
nj3syiLs3lABLtPVyL0ivA,1143,52,1143,648,34,127,778,153,751,63,611,9690,340,10100,1986,11550,2008/3/5 8:15,2021/3/31 0:00,,,,,,,,,
K5F_Ag9X28p63SLRvH0ytg,350,4,350,278,3,73,129,84,251,65,166,6203,125,5474,1133,7441,2011/3/23 0:08,2021/3/31 0:00,,,,,,,,,
kxj7TPtJY2zbEjGV0PYfAA,392,34,392,394,22,35,163,16,317,28,136,4930,90,4517,1406,7395,2008/8/4 3:29,2021/3/31 0:00,,,,,,,,,
4mjnkd8oJVCfBKN3i4rB-g,233,15,233,173,10,26,132,106,241,25,129,2576,148,2683,1266,4043,2008/11/27 2:24,2021/3/31 0:00,,,,,,,,,
HzoQKKHDq9BI37dyJAAtGA,216,5,216,127,4,13,100,39,308,10,71,1606,101,939,1009,2544,2010/3/15 12:08,2021/3/31 0:00,,,,,,,,,
oW2bCSJ5bIHyRnoZvkHwDg,455,82,455,218,14,52,212,88,383,18,135,3241,156,2729,1670,4087,2006/7/13 18:48,2021/3/31 0:00,,,,,,,,,
JC99U5y-KAchZIjBhf_DiQ,32,3,32,7,0,1,17,6,38,2,7,498,44,406,1161,978,2009/10/21 3:23,2021/3/31 0:00,,,,,,,,,
yX6miszwwodkYGLBg7UEmQ,245,5,245,53,6,13,127,27,334,7,73,1458,76,603,1047,2368,2011/6/29 21:55,2021/3/31 0:00,,,,,,,,,
Dj77pkw_EZJvR-F4RIf_BQ,197,21,197,145,2,9,102,68,131,7,99,2296,135,1610,1691,3917,2008/6/10 2:12,2021/3/31 0:00,,,,,,,,,
hHDltEEGlvuhRjDvfbYpqg,127,14,127,71,9,16,62,11,89,5,52,1611,76,966,1195,3010,2007/5/5 4:11,2021/3/31 0:00,,,,,,,,,
kS1MQHYwIfD0462PE61IBw,746,14,746,475,73,86,233,107,538,25,211,8619,440,4490,5280,12911,2007/8/25 1:33,2021/3/31 0:00,,,,,,,,,
j14WgRoU_-2ZE1aw1dXrJg,2992,154,2992,1087,245,260,1778,1682,6538,179,1480,22582,2938,10674,3978,34847,2009/1/25 4:35,2021/3/31 0:00,,,,,,,,,
dMbMRfmX5AApq-9ZvWjdrA,172,29,172,158,13,15,50,16,142,13,103,982,156,690,1036,2232,2009/5/1 22:02,2021/3/31 0:00,,,,,,,,,
GNOX8PWWmaeKO1_3UlTygg,1288,27,1288,879,6,32,564,12,2068,62,603,4924,90,4359,1014,7431,2009/8/21 21:52,2021/3/31 0:00,,,,,,,,,
6s-g2vFu12OemhiK3FJuOQ,4967,412,4967,3694,239,276,1586,1436,5000,358,797,17789,1116,12891,2377,21398,2007/2/14 14:51,2021/3/31 0:00,,,,,,,,,
baY9cJBx7oprSZNKA3BIHA,194,6,194,191,4,11,98,47,110,4,69,2407,178,1623,1608,3716,2008/7/16 17:42,2021/3/31 0:00,,,,,,,,,
IhmBr-yHC8xLjdnoq7O37w,54,1,54,37,7,28,62,27,74,6,39,1119,99,1186,2088,3317,2008/3/26 20:18,2021/3/31 0:00,,,,,,,,,
#NAME?,111,4,111,75,6,6,70,5,112,9,48,1766,61,1027,1218,3773,2007/7/18 13:40,2021/3/31 0:00,,,,,,,,,
y3FcL4bLy0eLlkb0SDPnBQ,1401,7,1401,966,20,63,398,457,1209,37,548,11131,212,8942,1738,13081,2011/12/11 22:42,2021/3/31 0:00,,,,,,,,,
NIhcRW6DWvk1JQhDhXwgOQ,825,47,825,679,21,63,503,209,758,45,296,7521,337,4122,2218,12155,2005/12/30 13:47,2021/3/31 0:00,,,,,,,,,
LjNubz7Q5VJOzRY5j3Q_nw,105,4,105,52,0,13,73,6,67,7,37,932,40,205,1023,1398,2008/2/25 21:54,2021/3/31 0:00,,,,,,,,,
wjClsIuhEjZN2OlkoFPKnQ,101,10,101,60,8,9,35,10,52,7,68,1130,104,583,1182,2037,2006/4/25 16:44,2021/3/31 0:00,,,,,,,,,
isQxsxlCjj6P8GQ_uuFwew,61,3,61,66,0,4,45,8,76,5,27,1066,58,810,1014,1885,2007/8/19 23:16,2021/3/31 0:00,,,,,,,,,
WnzRueYdRWNSbkXB0_0i4Q,126,4,126,73,4,13,55,9,105,15,65,867,88,643,1204,1790,2008/7/31 21:46,2021/3/31 0:00,,,,,,,,,
2bHSZhM0huV8LRh3YHaOSQ,510,102,510,822,26,51,267,33,358,28,94,4139,120,3620,1815,4934,2006/3/8 17:56,2021/3/31 0:00,,,,,,,,,
ajMm_rBqbKYALu-I8-__Kg,56,0,56,17,1,4,26,4,35,2,42,1535,90,1371,2293,2875,2008/6/2 5:23,2021/3/31 0:00,,,,,,,,,
9VJa4yxtnLct0pN_1RcD_w,340,6,340,308,13,44,189,29,238,32,204,3408,304,2362,2138,6613,2005/8/11 18:47,2021/3/31 0:00,,,,,,,,,
6WSKtJBe-jCTrZQ0b4uweQ,71,13,71,56,2,7,74,14,69,5,47,1067,109,622,1207,2252,2010/2/1 19:16,2021/3/31 0:00,,,,,,,,,
Vp5DzIiP_MmaMZMZVFFltA,1884,45,1884,1631,45,186,552,259,1357,47,420,5409,152,4647,1080,6628,2008/2/26 7:02,2021/3/31 0:00,,,,,,,,,
jipgimnSNp3qdK2dKUQvBg,3790,322,3790,5042,88,410,637,1980,1289,529,1825,15718,325,13619,1709,18244,2008/8/11 0:05,2021/3/31 0:00,,,,,,,,,
rQrqrb5dFztAeFYwyqbygA,1560,588,1560,2724,121,212,977,157,1585,233,389,4954,255,4366,1170,6661,2006/7/21 5:35,2021/3/31 0:00,,,,,,,,,
53bZ_EsXH71L7iFs5MP9_w,631,52,631,653,45,35,182,183,292,30,206,4980,389,3980,2035,7497,2006/2/10 0:25,2021/3/31 0:00,,,,,,,,,
TiPH2ZwSX53uK7IvFSHVYg,205,16,205,158,5,42,72,67,217,19,130,1179,116,895,1018,2178,2009/11/7 16:42,2021/3/31 0:00,,,,,,,,,
h2LtQ1s5X20d0yrdqUMJ0Q,164,3,164,67,2,11,56,25,156,10,111,1761,158,1480,1664,4081,2010/3/23 17:13,2021/3/31 0:00,,,,,,,,,
bnPpoAsVbULVN8EsUYGGCA,197,11,197,137,7,15,83,53,172,17,88,1547,119,1466,1090,2747,2009/5/15 2:06,2021/3/31 0:00,,,,,,,,,
hOzOTyBQHk4WXmiTGaOy4Q,21,0,21,3,1,5,7,7,17,3,7,428,30,122,1223,866,2010/1/21 14:21,2021/3/31 0:00,,,,,,,,,
lLfcbYGTeVxQN5Ig0ompJg,2224,47,2224,1966,31,134,585,1586,1167,139,843,36177,628,26895,3215,41677,2008/7/22 23:28,2021/3/31 0:00,,,,,,,,,
PdpWp_j67Nfr_oQF-4yKUw,106,1,106,60,7,14,44,9,71,9,101,1704,117,1217,1384,2846,2006/3/31 14:24,2021/3/31 0:00,,,,,,,,,
CyAl5D-GjX-ZtqdQqG4_ew,119,1,119,24,2,36,33,4,59,5,118,1110,68,974,1506,2253,2009/4/30 4:09,2021/3/31 0:00,,,,,,,,,
CGRkejdGiNtvX-lhcOFUZQ,129,8,129,103,0,9,58,29,114,16,77,1724,135,1279,1311,2801,2006/11/8 5:10,2021/3/31 0:00,,,,,,,,,
e3fX7_qkoSm-6-yTdlwcXw,347,2,347,168,21,17,157,48,1067,18,139,1335,125,584,1493,2532,2007/3/28 19:07,2021/3/31 0:00,,,,,,,,,
tlY0QMQDyfjQAEwHnzvFnw,151,7,151,916,13,15,31,11,175,28,86,2037,62,1569,1783,3491,2008/4/4 19:39,2021/3/31 0:00,,,,,,,,,
NqBYt9pw7kNoytFQ9ATS-w,20,2,20,28,1,5,18,15,47,0,21,798,126,680,1094,2049,2012/2/13 17:58,2021/3/31 0:00,,,,,,,,,
pFBeUN4O6mgChLfYI9oIPQ,686,162,686,1011,51,69,377,66,836,88,178,3754,151,4216,1118,5150,2006/4/17 14:03,2021/3/31 0:00,,,,,,,,,
tPufvUuxXLJOMYQ7gzsMVA,62,5,62,46,4,10,39,6,28,8,40,627,60,677,1096,1681,2008/6/5 2:53,2021/3/31 0:00,,,,,,,,,
Mcrnc7O4-yyPyu0iLbb8aA,57,0,57,17,1,12,34,6,52,5,31,999,87,1098,1485,2269,2009/3/3 2:35,2021/3/31 0:00,,,,,,,,,
4wp4XI9AxKNqJima-xahlg,1011,29,1011,432,15,73,898,106,3774,23,330,7096,689,3865,1354,11291,2011/1/5 20:29,2021/3/31 0:00,,,,,,,,,
DRT-FcIa-ls1AqCX9e5Nvg,270,3,270,150,4,13,86,14,204,17,115,1929,139,1028,1100,3281,2009/11/7 15:03,2021/3/31 0:00,,,,,,,,,
NZba-Q-Fp10iF77CTQt24Q,900,99,900,932,46,55,537,92,2008,77,193,3510,235,3810,1148,4478,2007/6/15 22:22,2021/3/31 0:00,,,,,,,,,
VxRCdLqDjVzCd3RGauIgig,601,11,601,311,7,15,222,91,1045,8,203,3593,170,1545,1320,4458,2010/8/6 18:29,2021/3/31 0:00,,,,,,,,,
1O638BDK_fWuxgTVJwff-A,264,1,264,141,5,20,141,27,223,14,92,5292,199,3761,2870,8773,2008/1/2 5:38,2021/3/31 0:00,,,,,,,,,
RtGqdDBvvBCjcu5dUqwfzA,173,7,173,103,7,20,145,11,174,3,97,2237,296,2348,12865,6575,2010/10/17 6:35,2021/3/31 0:00,,,,,,,,,
Ai7ZSET9dbL-h1qUdcyC5Q,942,69,942,734,36,54,404,65,1274,30,190,5057,197,3735,1485,7049,2006/12/4 20:11,2021/3/31 0:00,,,,,,,,,
p6nBKyT9Y_pFJ1WxVEowwA,59,2,59,8,4,6,25,3,16,1,12,482,24,412,1356,995,2006/6/14 22:24,2021/3/31 0:00,,,,,,,,,
gjRvBu1th-YobqPwPTysJQ,41,2,41,30,1,15,32,4,48,10,24,528,89,448,1251,2653,2006/1/22 15:51,2021/3/31 0:00,,,,,,,,,
ITa3vh5ERI90G_WP4SmGUQ,4456,345,4456,2348,341,368,2463,663,9140,336,1574,34683,2329,47934,3162,45159,2008/5/6 1:30,2021/3/31 0:00,,,,,,,,,
RmXIjppHNtVveguN10iO1g,3905,386,3905,2811,172,265,3190,362,4587,278,786,12475,482,8282,1354,12548,2006/12/29 17:34,2021/3/31 0:00,,,,,,,,,
duymKKwUruH8GwbvcaFd0w,117,15,117,94,12,6,52,29,59,8,25,747,93,537,1164,1168,2005/7/24 21:18,2021/3/31 0:00,,,,,,,,,
ctXFXk9-m6PCMoI-Nz2_XQ,504,52,504,354,14,42,177,139,250,42,264,6016,324,3815,1287,7793,2008/5/13 4:19,2021/3/31 0:00,,,,,,,,,
RgDVC3ZUBqpEe6Y1kPhIpw,1731,138,1731,1262,65,102,898,177,2582,108,551,11220,803,10096,1280,12736,2009/2/23 14:08,2021/3/31 0:00,,,,,,,,,
lquc6IF6uGIeRomDLu9UnA,607,12,607,250,37,31,388,274,1168,22,328,3046,239,1804,1019,5893,2007/10/4 1:20,2021/3/31 0:00,,,,,,,,,
1kpMAKRZuAz3OzxBav3XTg,3906,825,3906,4615,122,163,1227,549,3757,238,856,18744,893,15912,1197,19510,2005/4/20 15:32,2021/3/31 0:00,,,,,,,,,
tXhscxwFTd-ayLTdPx_2yA,31,0,31,14,1,10,22,0,28,4,14,591,53,412,1670,1390,2008/11/15 19:55,2021/3/31 0:00,,,,,,,,,
UG4EKu13JRwzRix6ESINdg,109,2,109,58,0,13,65,7,118,2,25,2063,67,1489,1273,3230,2009/6/5 16:32,2021/3/31 0:00,,,,,,,,,
CY9iLsE2z_yLhLqJdD1WGw,2845,35,2845,1529,18,224,1846,1001,2496,164,1242,13749,495,10910,1454,17431,2009/8/31 20:52,2021/3/31 0:00,,,,,,,,,
CS6mIboxyuYyVMAHWbyptw,36,0,36,5,1,6,43,2,78,2,32,793,66,780,1486,2260,2009/3/23 22:41,2021/3/31 0:00,,,,,,,,,
CAQv3QQHUasQNtN-HEldAw,322,16,322,202,25,58,134,17,169,19,107,2276,99,1727,1264,3036,2007/4/6 15:09,2021/3/31 0:00,,,,,,,,,
0lDl1Jg1Qz2KhvkfJKk6fw,458,22,458,261,18,26,163,15,331,11,105,3021,90,2603,1294,3932,2006/8/25 19:41,2021/3/31 0:00,,,,,,,,,
d_TBs6J3twMy9GChqUEXkg,188,4,188,94,2,15,82,9,93,6,87,3375,103,2398,2256,4713,2010/12/27 20:51,2021/3/31 0:00,,,,,,,,,
4RUXeyp_Af2C5t9JFyJlBQ,161,15,161,117,6,15,43,51,148,14,88,3105,110,2609,1291,4472,2010/7/29 5:42,2021/3/31 0:00,,,,,,,,,
KuQihTwMfE8pd9vwNyaNaA,903,109,903,1007,73,80,330,97,1232,88,192,6959,121,6459,1002,8036,2009/6/18 2:59,2021/3/31 0:00,,,,,,,,,
i-DWCn1Xk5-exHi0mBDO1g,192,9,192,117,13,27,63,39,186,9,61,1309,125,940,1627,2315,2006/12/22 9:02,2021/3/31 0:00,,,,,,,,,
RHD1GxgRTsJRTluoNRkQ6w,103,3,103,37,0,2,42,21,81,2,64,1149,72,370,1059,1906,2011/1/10 21:31,2021/3/31 0:00,,,,,,,,,
jVYzrVblDFSuL3GHtt8ZSA,1268,114,1268,842,52,70,592,115,2622,45,217,3989,364,3411,1030,5388,2008/10/24 3:50,2021/3/31 0:00,,,,,,,,,
3zxy3LVBV3ttxoYbY4rQ8A,2557,246,2557,1530,162,175,1545,553,7702,171,735,16917,1953,11375,2013,26225,2008/5/12 9:13,2021/3/31 0:00,,,,,,,,,
