,user_id,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,fans,funny,review_count,useful,yelping_since,now_date,acceptance,activation,frequency,subscribe,registeration,W1,W2,Wi,Wj
10,0CKo5RHHoN6AI7vSMnKV_g,5628,70,5628,3843,74,1095,1655,4813,6212,308,2674,22309,283,19791,2149,25662,2009/6/30 16:36,2021/3/31 0:00,11.941368078175897,182.90977693283128,0.47224107907086565,34022.5,11.748961898243213,0.17559241349128474,0.138432983211566,0.20753419980949592,0.10649433717872471
11,BgZwJBhVWKq1Urs4rKBdiA,181,5,181,84,11,20,119,21,279,11,92,3480,83,3981,1520,6035,2008/1/31 1:39,2021/3/31 0:00,3.9703947368421053,115.4717010564575,0.07439241256668642,6789.5,13.163398357289527,0.11742163057286606,0.0731933806696432,0.15543877099779432,0.035178146413889055
12,BUB_t_Rvzs1yPEzZipkWjw,1290,150,1290,1147,47,145,720,175,1484,105,493,10235,511,11257,1863,12390,2007/7/16 20:52,2021/3/31 0:00,6.650563607085346,135.925490246126,0.2079570273301458,17196.5,13.706038482013842,0.15175084678283193,0.10686878264066368,0.19033031023488825,0.06829190541076383
13,0KjqHIouprEuBr_8A9BJ_Q,1876,23,1876,840,47,115,664,251,1109,151,338,7496,149,6647,1283,8175,2008/8/20 20:53,2021/3/31 0:00,6.3717848791894,101.75950822957549,0.3266421722376557,11233.5,12.608158415088601,0.1368533260517031,0.09357275835093,0.17405608968650862,0.056372299000011346
14,LhFzr2vZDEc2KNHxuiHtIw,524,36,524,307,0,35,376,103,446,11,181,4945,296,3852,1716,9049,2009/12/11 6:58,2021/3/31 0:00,5.273310023310024,151.84425315222222,0.14249691807687997,9071.0,11.301053312038938,0.11744946303345917,0.08091823182344424,0.1488507054568142,0.04951897309687476
15,TylOr9YYTV3znqIvH7kdmQ,132,2,132,38,3,13,97,26,102,12,53,1722,110,1444,2181,3531,2007/8/21 6:08,2021/3/31 0:00,1.6189821182943605,160.25974758978646,0.09108556069882037,3403.5,13.609156589854742,0.1245243881439337,0.07664795744010942,0.16567735826495059,0.035496999062665825
16,UVxY0iyPaqY7s4BSFtt-xA,4505,251,4505,3129,127,247,1337,981,4146,218,1382,17280,520,13320,1949,21050,2007/6/11 3:54,2021/3/31 0:00,10.800410466906106,141.19301742668225,0.40325266214908034,26085.0,13.803798767967145,0.17956494891313202,0.13412221060321325,0.21862661258945565,0.09506368382985382
17,YttDgOC9AlM4HcAlDsbB2A,5113,142,5113,4004,154,260,2387,1014,7132,279,1869,30221,792,24357,3531,35695,2009/9/2 15:30,2021/3/31 0:00,10.109034267912772,305.08391280992345,0.3042659488440619,45532.5,11.573864932694502,0.1909688243440386,0.15806719262819588,0.2192510146835218,0.12978849268378637
18,rGyxhmfO0lvOHswUndr0xQ,52,1,52,16,0,1,18,52,34,3,81,1852,137,1093,1169,2768,2010/7/28 8:32,2021/3/31 0:00,2.367835757057314,109.51941273035072,0.05426220899702433,2925.0,10.673906760970416,0.08896188942713097,0.054845188089507606,0.11828746107688957,0.025521054524905024
19,T5KBc5QbwZ-Oj9ApE4vZJA,937,9,937,584,14,38,256,217,1225,30,371,4455,198,2473,1104,5640,2008/11/14 7:08,2021/3/31 0:00,5.108695652173913,89.2173711029425,0.3674411203055379,6383.0,12.374271807742034,0.1321581026944989,0.08863667647614534,0.16956784699543326,0.051229140145082376
20,NOUfyJW-BAo_-Cbfo8edww,24495,2487,24495,25019,1390,2211,4812,12801,11124,4123,7195,36993,605,29326,2469,41337,2007/5/13 3:31,2021/3/31 0:00,16.742405832320777,177.84032903731278,1.1160734190384187,54130.5,13.88324017035516,0.26745342676742107,0.21920622479850807,0.30892651906274754,0.17773799914836366
21,nkN_do3fJ9xekchVC-v68A,2115,249,2115,1429,45,176,880,574,1247,150,469,15036,2086,10003,1365,18424,2004/10/12 8:46,2021/3/31 0:00,13.497435897435897,82.9059750100293,0.21740330856130502,22774.5,16.464434557761045,0.20434248067818017,0.154674994820266,0.2470357331943213,0.11198533251478197
22,gf4tyQgQOtVMkOdvveRHVA,357,26,357,191,2,16,134,16,559,10,68,1735,64,1399,1512,2925,2008/2/5 18:06,2021/3/31 0:00,1.9345238095238095,114.99994360277613,0.28651592672058096,3061.5,13.14783253479352,0.12852297023650508,0.08089255875672467,0.16946451688937816,0.039953106280083264
23,rcU7ysY41qGppbw4pQgjqg,1410,102,1410,864,89,90,1022,248,3380,99,440,10621,1031,12544,1989,14766,2007/6/30 12:28,2021/3/31 0:00,7.423831070889895,144.64610503995092,0.24133294666631516,19481.0,13.750802342383452,0.16590931114884172,0.12228458822779929,0.203408180651076,0.08478860069337846
24,GmQR50bIII7gDNRYEgfXfA,339,12,339,226,1,28,129,227,228,11,188,8126,306,4365,1685,9297,2009/4/23 3:02,2021/3/31 0:00,5.517507418397626,141.16148881736822,0.07930971176794566,11047.0,11.936683397977033,0.11837669679901366,0.080505721329031,0.1509295127690094,0.047954894203104975
25,VHdY6oG2JPVNjihWhOooAQ,7074,963,7074,6038,152,393,2007,539,13653,388,2257,42647,2463,28023,2049,44981,2005/7/21 1:16,2021/3/31 0:00,21.952659834065397,130.56597016429845,0.35052009926416544,59057.0,15.693216214160772,0.25365062341899247,0.21408082364032258,0.28766500021320246,0.18007112420735683
26,DEOH_z7QaXnrH7vnmDl5KA,89,3,89,26,1,20,56,33,70,3,68,1925,78,1949,1911,3864,2009/5/27 22:48,2021/3/31 0:00,2.021978021978022,161.3837412284251,0.05918842078056345,3908.0,11.841341546885696,0.10670750864998678,0.06673851530754626,0.14106353898105287,0.03238421945406453
27,Ud6j2HN40qEhycq2PuwcBA,223,29,223,202,14,19,58,37,147,9,35,1293,72,446,1443,1610,2005/5/3 2:37,2021/3/31 0:00,1.1157311157311158,90.70136619659229,0.2974022096148104,1710.5,15.909352422237433,0.14884484669836962,0.08943317864063784,0.19991306218630606,0.03836734595678281
28,pbrmg9XPaGQbbFiuqL1_SQ,124,4,124,69,6,12,59,5,124,2,52,1059,107,750,1084,3011,2009/8/18 16:48,2021/3/31 0:00,2.7776752767527677,93.32932607312071,0.12053941908713693,2463.5,11.614784394250513,0.1000039259848402,0.06124912057199359,0.13331624573961057,0.027938413363814262
29,m2XKqIaqB2P5GGm7cqZr2A,1978,268,1978,1314,75,104,357,228,1576,123,654,10386,241,6305,1126,11347,2006/9/21 18:08,2021/3/31 0:00,10.077264653641208,77.53630216472344,0.30868820885940507,14139.5,14.522229827363297,0.15695228871630473,0.1073577190601528,0.1995823929068928,0.06473025799607374
30,OHVhLKw_uIE7saIt_S-udw,1079,12,1079,466,4,237,662,140,1372,23,586,11479,261,9062,1871,14218,2008/9/6 16:34,2021/3/31 0:00,7.599144842330305,148.9399781994277,0.1628355246123306,17510.0,12.562107384591984,0.13767410364323487,0.09742498192252753,0.1722712252926844,0.06283021128744382
31,syvwUKQJ4OYfmL_ixVLMeQ,1076,39,1076,711,9,75,340,185,578,65,429,11953,555,8538,4308,18558,2008/6/30 12:39,2021/3/31 0:00,4.307799442896936,337.91606397367104,0.11736536146892367,19802.0,12.748728040155145,0.16482662682968138,0.12220355716262861,0.2014645240984426,0.08556853022441062
32,IyIsFkVY48JWa01inv-7zA,210,2,210,102,3,27,109,5,212,20,110,5399,156,2951,2750,7460,2008/3/27 14:48,2021/3/31 0:00,2.712727272727273,211.3989610043391,0.06388361796331436,7983.0,13.008578599133013,0.12938977215999928,0.08470430270825727,0.16780003092652152,0.046296184903893305
33,P5bUL3Engv-2z6kKohB6qQ,1188,47,1188,835,34,128,507,246,1070,111,474,21051,809,10572,9906,27201,2006/5/31 21:27,2021/3/31 0:00,2.7459115687462146,667.9149961291603,0.09907520739834082,29816.5,14.831228610540725,0.2381164784441102,0.18408161830017247,0.28456400320451686,0.1376383155629535
34,c4K55UM0pZvreFSSQUjWxQ,347,20,347,237,7,28,157,41,231,13,169,3684,100,1811,1189,4755,2006/11/29 20:02,2021/3/31 0:00,3.9991589571068125,82.95483083283743,0.1558048780487805,5175.0,14.333101376530536,0.12878552743299726,0.07889772433063866,0.171667395937412,0.036017932679510076
35,ouODopBKF3AqfCkuQEnrDg,85,10,85,58,1,15,65,5,82,20,83,2586,131,1011,2042,4251,2010/4/9 5:28,2021/3/31 0:00,2.0817825661116554,186.05210240320184,0.0648572884811417,3989.5,10.975420184044415,0.1038581681472035,0.06726747904228376,0.13531038111711624,0.03581697734595566
36,YMgZqBUAddmFErxLtCfK_w,179,2,179,102,13,14,70,62,122,9,113,3970,182,2351,1930,6233,2009/3/16 23:41,2021/3/31 0:00,3.229533678756477,160.32076066787127,0.06890234188306515,6368.0,12.038366035439958,0.11364781069774021,0.07364803740536331,0.14803036704201553,0.03926735403829881
37,djxnI8Ux8ZYQJhiOQkrRhA,3714,259,3714,2606,103,230,2061,586,9149,215,938,21645,1745,14262,2455,27031,2008/5/9 13:48,2021/3/31 0:00,11.010590631364563,190.44346039280651,0.37457497855031935,32341.5,12.890965092402464,0.19811825252460558,0.1607595743718741,0.23023152569354807,0.1286498900170887
38,LMPWMy_kvHjlUzVQ_9jz6A,517,45,517,352,1,50,234,381,226,22,175,10005,439,5504,2310,11916,2011/3/11 8:45,2021/3/31 0:00,5.158441558441559,229.73353036108838,0.0918869644484959,13932.0,10.055127766370065,0.11863635931669289,0.08807955166208636,0.1449023553878517,0.061815622770709136
39,QnIrewrXxFnssw_gG1gF-Q,3121,164,3121,2575,95,237,1290,1981,3663,190,1074,36762,1299,22264,2845,43203,2010/7/10 18:54,2021/3/31 0:00,15.185588752196837,265.3421513771278,0.17129190347161763,51764.0,10.722005475701575,0.18482552137726677,0.1608933553402207,0.20539803245297872,0.14032430148784816
40,hizGc5W1tBHPghM5YKCAtg,7769,373,7769,6560,252,424,3104,1620,17426,416,2524,37964,3511,31112,1754,46534,2009/5/22 20:19,2021/3/31 0:00,26.530216647662485,147.95052972365457,0.41723899316668106,59560.5,11.855314092326413,0.2481096608012254,0.22723199148874726,0.26605734148603444,0.2092890642679957
41,#NAME?,2434,202,2434,2128,43,120,815,226,2282,174,847,7907,251,6144,1515,9179,2006/12/19 21:49,2021/3/31 0:00,6.0587458745874585,106.1062506766221,0.5038743004735257,11740.5,14.278140923264127,0.1676531288553536,0.11550222447278215,0.2124806129468371,0.07067757196314774
42,iT1AA74QFn_a0Xq9-ggSGA,1288,38,1288,617,43,93,1015,437,2065,45,526,6760,231,5625,1991,12275,2010/7/16 20:51,2021/3/31 0:00,6.1652435961828225,185.9816726100946,0.30231143552311435,12445.5,10.705355920602328,0.13182610239373985,0.09598965066794264,0.16263029757139744,0.06518773367059748
43,IBrL-6twlZmQBGLdV2DQiw,108,0,108,43,3,12,35,4,87,4,26,810,55,863,1266,1375,2006/1/3 21:31,2021/3/31 0:00,1.0860979462875198,83.0903688148955,0.1410761154855643,1551.5,15.236422921895201,0.129151175249305,0.07445950289038819,0.1761621669587392,0.027450547308096655
44,EJPBXvEdaodsPQuYBT6low,181,6,181,71,22,22,129,13,308,13,57,1469,143,1490,1568,3158,2007/12/18 17:48,2021/3/31 0:00,2.014030612244898,118.05431924019713,0.1639692659800556,3130.0,13.282021446497833,0.12191607523748929,0.07533711812138225,0.16195378835008686,0.03530137756044379
45,GON8Ynfiro1jxnFoWD5jwQ,665,5,665,356,10,48,162,261,847,22,229,12317,231,8990,1546,14040,2007/8/17 20:21,2021/3/31 0:00,9.08150064683053,113.5221622780767,0.0925113871049877,17789.0,13.618486196668949,0.13814814969053452,0.09493046526589609,0.17529687555939738,0.05778407020649089
46,4ZfcCa4m5RWvO4EFzfYm1A,1559,101,1559,942,113,105,829,1123,783,106,634,9878,667,9665,1290,12507,2007/11/5 6:02,2021/3/31 0:00,9.695348837209302,96.2608169356104,0.24505460218408737,16358.5,13.401091337744315,0.15169876847231298,0.10888906665125575,0.18849695233150757,0.07209348869647143
47,wzyGNvArcpUjZauRWFrKHA,694,1,694,349,6,38,286,700,812,21,224,8390,356,6827,2438,11807,2011/5/15 22:26,2021/3/31 0:00,4.842904019688269,246.87091345033878,0.14154085257548846,13690.0,9.875606510000761,0.12163951336259375,0.09067761390050447,0.1482537322268623,0.06406551822874046
48,ci7Q6NvXQ8UZrBHusVX18g,636,31,636,342,12,45,276,275,603,34,269,5584,224,4869,1261,8455,2009/11/18 0:02,2021/3/31 0:00,6.704996034892942,110.95649340068437,0.16707213877723714,9566.0,11.364814814814816,0.11506996115266296,0.07868532657708938,0.146345174055649,0.047412051246356335
49,M1cMsRL4L7IUr9RILDywEQ,150,13,150,59,36,30,78,41,116,10,128,2403,276,1325,2220,5606,2006/10/24 22:40,2021/3/31 0:00,2.5252252252252254,153.831617112322,0.08688665095350333,4805.0,14.431363601794814,0.1350561258057008,0.08467550072836195,0.17836165739844898,0.0413721664738525
50,5kMii2JySygayQpyPBjqCA,124,2,124,50,11,8,100,13,75,2,49,1790,87,926,1705,2847,2010/6/19 23:11,2021/3/31 0:00,1.6697947214076245,158.17776671630804,0.10030559050871832,2825.0,10.779011711917256,0.09890793650420303,0.06279216443128219,0.12995188961086052,0.03174982834180421
51,B7ecAeAIrXg7sgmabS38pg,3233,600,3233,3480,142,292,1697,348,2360,223,973,23273,1371,25943,2602,24986,2006/5/12 6:07,2021/3/31 0:00,9.60261337432744,174.8068882614994,0.2234575887442387,37786.5,14.884996957943569,0.19824009914747343,0.15434673903078544,0.2359701964748188,0.11662016760708088
52,Dw5k44c-nkOexdaqUtcWCA,65,2,65,55,6,6,47,11,74,2,23,861,47,883,1182,1470,2007/4/26 20:20,2021/3/31 0:00,1.2436548223350254,84.86584123950584,0.11076540136901059,1630.5,13.927865236900143,0.11544107705708165,0.06663605792592452,0.15739211558261,0.024686840189953912
53,om5ZiponkpRqUNa3pVPiRg,1620,214,1620,1304,101,136,1353,181,2160,85,427,13333,962,9137,2751,17995,2006/1/18 2:35,2021/3/31 0:00,6.541257724463831,181.0164356706911,0.22738168787841345,20713.5,15.197515020153624,0.18176896719709992,0.13154651736622525,0.22493900791338237,0.08837960983612031
54,K7thO1n-vZ9PFYiC7nTR2w,1900,69,1900,1177,58,182,1256,102,2765,108,843,8846,324,6557,1532,11189,2007/12/26 23:05,2021/3/31 0:00,7.303524804177545,115.53966281783345,0.38959085439229846,13458.0,13.259515932770553,0.1546982082349901,0.10872030059738981,0.19421962288226663,0.06920152016154371
55,PnBwDitaPUodtlSpN3ELJw,105,1,105,43,1,9,48,25,76,4,49,1368,60,996,1003,2402,2008/3/18 3:12,2021/3/31 0:00,2.39481555333998,76.94938246537744,0.09777591271506504,2413.0,13.034542550764318,0.10739724249131387,0.06296992693645875,0.14558538763481485,0.024783485481688954
56,fHS0bQ-l5rHME_xXKQSYXQ,947,46,947,384,75,49,515,60,1587,31,264,6641,382,3963,1401,7901,2007/3/19 18:19,2021/3/31 0:00,5.6395431834403995,99.84226474088393,0.2650634963523372,9443.5,14.032133622328693,0.14585941854287848,0.09750146673872852,0.18742648884009644,0.055936830074699705
57,VFXKRVzEMbnsDcYFdwiiuA,24,0,24,17,0,3,13,2,17,4,15,288,22,206,1072,694,2008/4/19 7:27,2021/3/31 0:00,0.6473880597014925,82.80264396716673,0.10016835016835017,605.0,12.946446497832536,0.10374828290826146,0.05893061993806564,0.14227191092282326,0.020408618728800353
58,Vf3DJncooLUHWYele0Cxrw,43,0,43,9,0,1,11,6,30,3,18,445,61,435,1053,957,2007/1/20 20:23,2021/3/31 0:00,0.9088319088319088,74.20356317485464,0.08927599346761024,949.0,14.19069320860902,0.11392380649506617,0.06429589102369734,0.15658214247081123,0.021639337262749615
59,C6LV0p8L6IfBfh1YFRkWzQ,762,12,762,486,12,44,207,338,618,45,281,9415,247,5737,1476,12070,2008/7/16 7:22,2021/3/31 0:00,8.177506775067751,116.16993271179862,0.13103372272426714,13734.5,12.705525134991253,0.12987405169845587,0.08918114438957259,0.16485254697437046,0.05420483968752464
60,Ve0LUwcrzxL7w0RYgY4Aaw,2979,288,2979,1587,87,180,2052,499,5859,177,1002,22450,1116,13044,1987,26601,2008/8/22 16:38,2021/3/31 0:00,13.38751887267237,157.65877851701418,0.284869957323456,31605.5,12.603167541257891,0.17728978977600637,0.141072968316208,0.20842138273621563,0.10994455901541625
61,yOixBUTirIrxyup-8jb_Ww,423,50,423,284,31,44,189,55,336,50,116,2919,113,2786,1077,4117,2010/6/19 22:12,2021/3/31 0:00,3.8226555246053855,99.91535594318117,0.20372632864996945,4967.5,10.779123887748117,0.10291960607347596,0.06725572489200354,0.1335751808341084,0.036601851901698464
62,aqWXHhcR_CdmKmxggFOlEA,102,5,102,66,9,13,44,7,57,6,22,1029,95,391,1259,2452,2005/9/25 3:36,2021/3/31 0:00,1.9475774424146148,81.16165270877272,0.11182851239669421,1983.5,15.512251882272418,0.1310083524058132,0.07580201627001522,0.17846173697937057,0.028350699820825873
63,EVaW-GGDEbYrYhgGUmO0DQ,65,7,65,122,0,9,37,3,30,16,128,805,29,713,1198,1362,2008/7/17 16:10,2021/3/31 0:00,1.1368948247078463,94.31746407150224,0.1673611111111111,1454.5,12.701783405582173,0.10971239078247921,0.06520101074975154,0.14797281588993913,0.026942334793798452
64,8rzqG5NLuDlnqE49USzvTw,76,1,76,34,2,6,38,4,96,1,20,1269,36,858,1738,2163,2008/10/28 1:39,2021/3/31 0:00,1.2445339470655927,139.91935628295008,0.08251748251748252,2163.0,12.421440793976727,0.10791789480105013,0.06501945415806566,0.1447919154467832,0.028147162903116092
65,UVUIi0q38pAvsfuEEppe0Q,162,1,162,67,17,20,121,5,272,4,94,2906,135,1193,3168,4681,2011/4/8 22:19,2021/3/31 0:00,1.4775883838383839,317.53285636615504,0.10535307517084283,4457.5,9.976920298121529,0.1167812224362152,0.08187133152037811,0.14678885074402076,0.05186568975797758
66,QhpD_YU3_RDMKjkH5DXMYg,200,4,200,69,3,20,113,67,271,8,111,2161,81,1540,1538,4766,2009/3/26 17:53,2021/3/31 0:00,3.0988296488946685,128.04236767264774,0.12590055509625606,4274.0,12.011649174842194,0.11020922438693155,0.06946810146965791,0.14522896627438467,0.034450156373431295
67,eSlOI3GhroEtcbaD_nFXJQ,2483,20,2483,769,16,86,405,267,3075,63,283,17152,306,10076,3175,19853,2011/5/28 21:42,2021/3/31 0:00,6.252913385826772,322.6593846621137,0.2113379070113209,23693.5,9.840098106319871,0.14514259925157508,0.11429385775825893,0.17165978930693387,0.08777926209341412
68,o2Or6xqxeWaE46tdzK0UGg,931,65,931,664,18,84,353,756,516,57,446,21804,759,14943,2476,26872,2010/3/13 18:28,2021/3/31 0:00,10.852988691437803,224.1158187987331,0.07577924833776073,32189.0,11.047859152787284,0.14876248165078776,0.11938122939142813,0.17401834166917243,0.0941280508369685
69,cYjzLu3fm-VbtjRMCuhK6Q,95,2,95,66,5,9,53,7,140,9,67,1151,77,931,1209,2616,2009/3/13 18:55,2021/3/31 0:00,2.163771712158809,100.35590774118354,0.1166453810131971,2387.5,12.047123355388242,0.10334751317878602,0.06253015286731387,0.13843271556630402,0.027446609273044254
70,opPpHVIp8SKHMJg3_y5Lew,1155,43,1155,779,55,83,202,303,1035,118,392,5012,143,4532,1509,6773,2010/6/25 1:11,2021/3/31 0:00,4.488402915838304,140.17526994393685,0.32604032604032607,8230.0,10.765094303749335,0.12149897248329543,0.0846187527406164,0.1532002251339364,0.05291956128783961
71,sDGwhNAQIubV36t_fex6VA,1165,51,1165,724,54,146,564,161,1185,87,293,6132,275,4758,1441,8293,2008/2/19 18:13,2021/3/31 0:00,5.755031228313671,109.92037640823506,0.2916644946045978,9729.0,13.109489314776788,0.13990384994127625,0.09475912288801247,0.17870896429743688,0.05595635518504665
72,Hnu5s_myOZZIS2eny7liVA,489,27,489,400,19,41,118,29,474,27,185,5484,114,4080,1413,6684,2008/12/11 22:31,2021/3/31 0:00,4.73036093418259,114.89117299359413,0.14143279172821271,8181.0,12.298594950186324,0.11707482499322094,0.07618387552541064,0.152223417505748,0.04103721561921485
73,4MJ7go3WJwIcak_17vWw9w,130,9,130,97,1,11,63,39,142,14,115,2064,98,1684,1872,3377,2009/3/21 2:23,2021/3/31 0:00,1.8039529914529915,155.64840809279238,0.10540350877192982,3611.5,12.027106624077877,0.1109603953540716,0.06973140042826659,0.14639949043904918,0.03429411227931618
74,NP-675YVy9URhNmdQdnWsQ,32,0,32,9,2,3,12,1,28,2,6,324,24,220,1065,739,2005/7/28 2:13,2021/3/31 0:00,0.6938967136150235,67.94716605690024,0.0989867498051442,653.5,15.673942885390524,0.12609076679311107,0.06997377891732902,0.17432684412200708,0.02173966225349676
75,vgwdQ0fpDZdoTidJuwYq7w,103,13,103,98,2,16,36,10,88,1,20,1108,57,803,1314,1201,2005/9/19 22:42,2021/3/31 0:00,0.9140030441400304,84.62950377391623,0.15745501285347044,1584.5,15.526500114077116,0.13308462748521935,0.07694112222727406,0.18134356751384412,0.028684282477149214
76,nj3syiLs3lABLtPVyL0ivA,1143,52,1143,648,34,127,778,153,751,63,611,9690,340,10100,1986,11550,2008/3/5 8:15,2021/3/31 0:00,5.81570996978852,151.95616567489543,0.1755902999361838,15840.0,13.069558521560575,0.14148618724100628,0.09859353203212841,0.17835557075885972,0.0617265493354759
77,K5F_Ag9X28p63SLRvH0ytg,350,4,350,278,3,73,129,84,251,65,166,6203,125,5474,1133,7441,2011/3/23 0:08,2021/3/31 0:00,6.567519858781995,113.03711499152477,0.0916936918087666,9621.5,10.023256521408472,0.095904679524966,0.06578070459596304,0.12179841107681508,0.03988858991412387
78,kxj7TPtJY2zbEjGV0PYfAA,392,34,392,394,22,35,163,16,317,28,136,4930,90,4517,1406,7395,2008/8/4 3:29,2021/3/31 0:00,5.259601706970128,111.11155919693738,0.11453509084431777,8466.0,12.653948969503384,0.11812568797855609,0.07614496964697849,0.1542109913299926,0.040061609021545486
79,4mjnkd8oJVCfBKN3i4rB-g,233,15,233,173,10,26,132,106,241,25,129,2576,148,2683,1266,4043,2008/11/27 2:24,2021/3/31 0:00,3.193522906793049,102.59968048991547,0.14222747796172866,4725.0,12.339219712525667,0.11208073414211986,0.07045672069851523,0.14785937479274533,0.034679905440692084
80,HzoQKKHDq9BI37dyJAAtGA,216,5,216,127,4,13,100,39,308,10,71,1606,101,939,1009,2544,2010/3/15 12:08,2021/3/31 0:00,2.5213082259663033,91.36922216605672,0.21792100609157006,2595.0,11.043105939615181,0.1018363214952152,0.06438727433249479,0.1340263076473189,0.03219895043297189
81,oW2bCSJ5bIHyRnoZvkHwDg,455,82,455,218,14,52,212,88,383,18,135,3241,156,2729,1670,4087,2006/7/13 18:48,2021/3/31 0:00,2.447305389221557,113.49886650147465,0.21000298299691758,5106.5,14.713803331051789,0.13966283926574208,0.0870200416254467,0.184912845563281,0.0417723021793852
82,JC99U5y-KAchZIjBhf_DiQ,32,3,32,7,0,1,17,6,38,2,7,498,44,406,1161,978,2009/10/21 3:23,2021/3/31 0:00,0.8423772609819121,101.47632336511313,0.07704569606801276,963.0,11.441092478515476,0.09194610122733729,0.053635618480335455,0.12487642713535267,0.020706748404075458
83,yX6miszwwodkYGLBg7UEmQ,245,5,245,53,6,13,127,27,334,7,73,1458,76,603,1047,2368,2011/6/29 21:55,2021/3/31 0:00,2.261700095510984,107.35750442790147,0.25626552269135244,2252.5,9.75246216442315,0.0946610556698427,0.06181868085005007,0.12289134922777212,0.033589952105134
84,Dj77pkw_EZJvR-F4RIf_BQ,197,21,197,145,2,9,102,68,131,7,99,2296,135,1610,1691,3917,2008/6/10 2:12,2021/3/31 0:00,2.316380839739799,132.06111943609469,0.1250159785248626,3979.0,12.804677161761353,0.11744235511634663,0.07329432437940482,0.15539054413681824,0.035348042744802036
85,hHDltEEGlvuhRjDvfbYpqg,127,14,127,71,9,16,62,11,89,5,52,1611,76,966,1195,3010,2007/5/5 4:11,2021/3/31 0:00,2.518828451882845,85.93989560961776,0.10434938249507786,2831.5,13.905066925241464,0.11768123508269039,0.06947838293440978,0.15911470917997655,0.02804678045201994
